
"LANP - 4 Digit Level by ENGLP"
"Counting: Persons, Place of Usual Residence"

,"ENGLP","Speaks English only","Speaks other language and speaks English: Very well","Speaks other language and speaks English: Well","Speaks other language and speaks English: Not well","Speaks other language and speaks English: Not at all","Not stated - both language (LANP) and proficiency (ENGP) not stated","Not stated - language (LANP) stated, proficiency (ENGP) not stated","Total",
,"Kune",0,50,38,24,9,0,0,121,
,"Kuninjku",0,23,66,13,3,0,0,105,
,"Kunwinjku",0,602,628,306,59,0,50,1645,
,"Kunwinjkuan, nec",0,0,0,0,0,0,0,0,
,"Kuuk Thayorre",0,47,61,22,0,0,0,130,
,"Kuuku-Ya'u",0,10,3,0,0,0,0,13,
,"Kuwema",0,0,0,0,0,0,0,0,
,"Kuwinjkuan, nfd",0,0,0,0,0,0,0,0,
,"Ladji Ladji",0,0,0,0,0,0,0,0,
,"Lamalama",0,20,0,0,0,0,0,20,
,"Lardil",0,63,24,3,0,0,0,90,
,"Larrakiya",0,8,0,0,0,0,0,8,
,"Light Warlpiri",0,0,0,0,0,0,0,0,
,"Liyagalawumirr",0,0,3,0,0,0,0,3,
,"Liyagawumirr",0,0,0,0,0,0,0,0,
,"Luritja",0,343,620,394,76,0,73,1506,
,"Madarrpa",0,0,3,0,0,0,0,3,
,"Malak Malak",0,3,4,4,0,0,0,11,
,"Malngin",0,0,0,0,0,0,0,0,
,"Mangala",0,32,20,6,0,0,0,58,
,"Mangarrayi",0,0,0,0,0,0,0,0,
,"Manggalili",0,0,0,0,0,0,0,0,
,"Manyjalpingu",0,0,0,0,0,0,0,0,
,"Manyjilyjarra",0,169,110,59,9,0,0,347,
,"Maringarr",0,7,0,0,0,0,0,7,
,"Marra",0,3,3,4,0,0,0,10,
,"Marramaninyshi",0,0,0,0,0,0,0,0,
,"Marrangu",0,9,3,0,0,0,3,15,
,"Marridan (Maridan)",0,0,0,0,0,0,0,0,
,"Marrithiyel",0,17,4,0,0,0,0,21,
,"Martu Wangka",0,431,146,19,6,0,3,605,
,"Matngala",0,0,0,0,0,0,0,0,
,"Maung",0,257,68,25,17,0,0,367,
,"Mayali",0,50,4,12,0,0,0,66,
,"Meriam Mir",0,73,60,45,6,0,3,187,
,"Miriwoong",0,54,34,5,0,0,5,98,
,"Mirning",0,0,0,0,0,0,0,0,
,"Morrobalama",0,0,0,0,0,0,0,0,
,"Mudburra",0,58,42,18,0,0,0,118,
,"Murrinh Patha",0,1047,389,639,309,0,27,2411,
,"Muruwari",0,10,0,0,0,0,0,10,
,"Na-kara",0,27,65,3,8,0,0,103,
,"Narungga",0,43,4,0,0,0,0,47,
,"Ndjebbana (Gunavidji)",0,170,134,18,13,0,0,335,
,"Ngaanyatjarra",0,490,372,126,38,0,17,1043,
,"Ngalakgan",0,0,0,0,0,0,0,0,
,"Ngaliwurru",0,0,0,0,0,0,0,0,
,"Ngan'gikurunggurr",0,53,37,7,0,0,0,97,
,"Ngandi",0,0,0,0,0,0,0,0,
,"Ngardi",0,0,0,0,0,0,0,0,
,"Ngarinyin",0,26,14,0,0,0,0,40,
,"Ngarinyman",0,128,135,24,3,0,21,311,
,"Ngarluma",0,40,0,5,0,0,0,45,
,"Ngarrindjeri",0,235,20,5,4,0,7,271,
,"Ngatjumaya",0,0,0,0,0,0,0,0,
,"Nhangu",0,0,0,0,0,0,0,0,
,"Nhangu, nec",0,4,0,0,0,0,0,4,
,"Northern Desert Fringe Area Languages, nec",0,0,0,0,0,0,0,0,
,"Northern Desert Fringe Area Languages, nfd",0,0,0,0,0,0,0,0,
,"Nungali",0,11,0,0,0,0,0,11,
,"Nunggubuyu",0,149,51,13,4,0,22,239,
,"Nyamal",0,13,17,4,0,0,0,34,
,"Nyangumarta",0,129,125,8,0,0,0,262,
,"Nyikina",0,41,18,4,0,0,0,63,
,"Nyungar",0,304,42,13,0,0,11,370,
,"Other Australian Indigenous Languages, nec",0,362,172,30,6,0,4,574,
,"Other Australian Indigenous Languages, nfd",0,0,0,0,0,0,0,0,
,"Other Yolngu Matha, nec",0,0,0,0,0,0,0,0,
,"Paakantyi",0,45,3,0,0,0,0,48,
,"Palyku/Nyiyaparli",0,9,0,0,0,0,0,9,
,"Pintupi",0,41,39,37,6,0,17,140,
,"Pitjantjatjara",0,1386,1304,601,132,0,63,3486,
,"Rembarrnga",0,39,60,21,4,0,0,124,
,"Rirratjingu",0,0,0,0,0,0,0,0,
,"Ritharrngu",0,10,5,0,0,0,0,15,
,"Thaynakwith",0,0,3,0,0,0,0,3,
,"Tiwi",0,1433,573,128,48,0,27,2209,
,"Tjungundji",0,0,0,0,0,0,0,0,
,"Tjupany",0,0,0,0,0,0,0,0,
,"Torres Strait Island Languages, nfd",0,237,107,43,9,0,11,407,
,"Waanyi",0,24,0,15,0,0,0,39,
,"Wagilak",0,3,3,0,0,0,0,6,
,"Wagiman",0,14,11,0,4,0,0,29,
,"Wajarri",0,84,8,0,0,0,0,92,
,"Walmajarri",0,160,281,74,10,0,4,529,
,"Waluwarra",0,0,5,0,5,0,0,10,
,"Wambaya",0,31,24,0,0,0,0,55,
,"Wangkajunga",0,0,11,4,0,0,0,15,
,"Wangkangurru",0,0,0,0,0,0,0,0,
,"Wangkatha",0,237,42,13,0,0,7,299,
,"Wangurri",0,9,12,5,0,0,0,26,
,"Wanyjirra",0,0,0,0,0,0,0,0,
,"Wardaman",0,0,6,0,0,0,0,6,
,"Wargamay",0,0,0,0,0,0,0,0,
,"Warlmanpa",0,11,7,0,0,0,0,18,
,"Warlpiri",0,1084,1101,243,72,0,55,2555,
,"Warnman",0,6,9,0,0,0,0,15,
,"Warramiri",0,4,3,0,0,0,0,7,
,"Warumungu",0,150,87,31,5,0,12,285,
,"Wergaia",0,11,0,0,0,0,0,11,
,"Western Arrarnta",0,186,245,29,17,0,10,487,
,"Western Desert Language, nec",0,11,6,0,0,0,0,17,
,"Western Desert Language, nfd",0,0,0,0,0,0,0,0,
,"Wik Mungkan",0,740,480,113,9,0,17,1359,
,"Wik Ngathan",0,0,4,0,0,0,0,4,
,"Wiradjuri",0,126,21,4,0,0,0,151,
,"Worla",0,0,0,0,0,0,0,0,
,"Worrorra",0,0,0,0,0,0,0,0,
,"Wubulkarra",0,0,0,0,0,0,0,0,
,"Wunambal",0,9,3,0,0,0,0,12,
,"Wurlaki",0,13,18,0,0,0,0,31,
,"Yakuy, nec",0,0,0,0,0,0,0,0,
,"Yakuy, nfd",0,0,0,0,0,0,0,0,
,"Yan-nhangu",0,0,0,0,0,0,0,0,
,"Yankunytjatjara",0,173,175,83,14,0,5,450,
,"Yanyuwa",0,57,13,3,0,0,4,77,
,"Yawuru",0,15,10,3,0,0,0,28,
,"Yidiny",0,0,0,0,0,0,0,0,
,"Yindjibarndi",0,236,45,10,0,0,5,296,
,"Yinhawangka",0,3,4,0,0,0,0,7,
,"Yolngu Matha, nfd",0,785,897,629,130,0,4,2445,
,"Yorta Yorta",0,27,0,0,0,0,0,27,
,"Yulparija",0,27,22,3,0,0,0,52,
,"Yumplatok (Torres Strait Creole)",0,2263,2051,763,244,0,48,5369,
,"Yupangathi",0,0,0,0,0,0,0,0,
,"Total",0,29392,21058,8062,2208,3,1075,61798,

"Data Source: 2011 Census of Population and Housing"

"INFO","Cells in this table have been randomly adjusted to avoid the release of confidential data."


"26","No reliance should be placed on small cells."
"27","For details on a classification and associated data quality information click on the blue i-links in the table."
"28","Cells in this table have been randomly adjusted to avoid the release of confidential data."


Table generated using ABS TableBuilder
"Copyright, Commonwealth of Australia"
